chunk_uid,rollout_id,model,dataset,ood_type,task_name,trial_id,chunk_id,norm_chunk_id,latent_pt_path,success,failure_mode,dominant_failure_mode,valid_for_probe,is_early_chunk,latent_keys
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000_chunk_000,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,0,0,0,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/chunk_00000.pt,1,success,success,1,1,text_encoder_output|cross_attention_action_x_after|action_head_input|chunk_vector_mean|action_chunk_output
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000_chunk_001,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,0,1,1,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/chunk_00001.pt,1,success,success,1,1,text_encoder_output|cross_attention_action_x_after|action_head_input|chunk_vector_mean|action_chunk_output
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000_chunk_002,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,0,2,2,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/chunk_00002.pt,1,success,success,1,1,text_encoder_output|cross_attention_action_x_after|action_head_input|chunk_vector_mean|action_chunk_output
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000_chunk_003,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,0,3,3,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/chunk_00003.pt,1,success,success,1,1,text_encoder_output|cross_attention_action_x_after|action_head_input|chunk_vector_mean|action_chunk_output
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000_chunk_004,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,0,4,4,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/chunk_00004.pt,1,success,success,1,1,text_encoder_output|cross_attention_action_x_after|action_head_input|chunk_vector_mean|action_chunk_output
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000_chunk_005,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,0,5,5,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/chunk_00005.pt,1,success,success,1,0,text_encoder_output|cross_attention_action_x_after|action_head_input|chunk_vector_mean|action_chunk_output
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000_chunk_006,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,0,6,6,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/chunk_00006.pt,1,success,success,1,0,text_encoder_output|cross_attention_action_x_after|action_head_input|chunk_vector_mean|action_chunk_output
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000_chunk_007,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,0,7,7,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/chunk_00007.pt,1,success,success,1,0,text_encoder_output|cross_attention_action_x_after|action_head_input|chunk_vector_mean|action_chunk_output
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000_chunk_008,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,0,8,8,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/chunk_00008.pt,1,success,success,1,0,text_encoder_output|cross_attention_action_x_after|action_head_input|chunk_vector_mean|action_chunk_output
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000_chunk_009,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,0,9,9,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/chunk_00009.pt,1,success,success,1,0,text_encoder_output|cross_attention_action_x_after|action_head_input|chunk_vector_mean|action_chunk_output
