rollout_id,trial_id,success,dominant_failure_mode,secondary_failure_modes,failure_stage,target_object,target_receptacle,wrong_object_name,wrong_receptacle_name,video_checked,event_log_checked,annotation_status,notes
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,0,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_001,1,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_002,2,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_003,3,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_004,4,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_005,5,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_006,6,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_007,7,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_008,8,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_009,9,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_010,10,1,success,,,cream_cheese,plate,,,1,1,verified_success,Successful rollout
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_011,11,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_012,12,0,wrong_receptacle,over_compositional,place,cream_cheese,plate,,bowl,1,1,verified,"Picked cream cheese but moved toward bowl, then put both on the plate"
