rollout_id,model,dataset,ood_type,task_name,trial_id,success,num_chunks,has_intervention,video_path,latent_dir,event_log_path,finalize_path,rollout_result_path,dominant_failure_mode,valid_for_probe,annotation_status,notes
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_000,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,0,1,22,0,OOD_exp/outputs/videos/libero_goal/dif_start_end_loc/put_the_cream_cheese_on_the_plate/trial0_success.mp4,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/rollouts_state_record.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/rollouts_finalize.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_0/rollout_result.json,success,1,verified_success,label_auto_success
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_001,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,1,0,60,0,OOD_exp/outputs/videos/libero_goal/dif_start_end_loc/put_the_cream_cheese_on_the_plate/trial1_failure.mp4,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_1,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_1/rollouts_state_record.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_1/rollouts_finalize.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_1/rollout_result.json,wrong_receptacle,1,verified,failure_label_verified
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_002,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,2,0,60,0,OOD_exp/outputs/videos/libero_goal/dif_start_end_loc/put_the_cream_cheese_on_the_plate/trial2_failure.mp4,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_2,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_2/rollouts_state_record.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_2/rollouts_finalize.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_2/rollout_result.json,wrong_receptacle,1,verified,failure_label_verified
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_003,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,3,0,60,0,OOD_exp/outputs/videos/libero_goal/dif_start_end_loc/put_the_cream_cheese_on_the_plate/trial3_failure.mp4,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_3,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_3/rollouts_state_record.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_3/rollouts_finalize.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_3/rollout_result.json,wrong_receptacle,1,verified,failure_label_verified
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_004,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,4,0,60,0,OOD_exp/outputs/videos/libero_goal/dif_start_end_loc/put_the_cream_cheese_on_the_plate/trial4_failure.mp4,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_4,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_4/rollouts_state_record.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_4/rollouts_finalize.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_4/rollout_result.json,wrong_receptacle,1,verified,failure_label_verified
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_005,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,5,1,20,0,OOD_exp/outputs/videos/libero_goal/dif_start_end_loc/put_the_cream_cheese_on_the_plate/trial5_success.mp4,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_5,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_5/rollouts_state_record.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_5/rollouts_finalize.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_5/rollout_result.json,success,1,verified_success,label_auto_success
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_006,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,6,1,22,0,OOD_exp/outputs/videos/libero_goal/dif_start_end_loc/put_the_cream_cheese_on_the_plate/trial6_success.mp4,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_6,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_6/rollouts_state_record.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_6/rollouts_finalize.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_6/rollout_result.json,success,1,verified_success,label_auto_success
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_007,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,7,0,60,0,OOD_exp/outputs/videos/libero_goal/dif_start_end_loc/put_the_cream_cheese_on_the_plate/trial7_failure.mp4,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_7,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_7/rollouts_state_record.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_7/rollouts_finalize.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_7/rollout_result.json,wrong_receptacle,1,verified,failure_label_verified
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_008,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,8,1,20,0,OOD_exp/outputs/videos/libero_goal/dif_start_end_loc/put_the_cream_cheese_on_the_plate/trial8_success.mp4,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_8,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_8/rollouts_state_record.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_8/rollouts_finalize.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_8/rollout_result.json,success,1,verified_success,label_auto_success
pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_009,pi05,libero_ood,diff_start_end_loc,put_the_cream_cheese_on_the_plate,9,0,60,0,OOD_exp/outputs/videos/libero_goal/dif_start_end_loc/put_the_cream_cheese_on_the_plate/trial9_failure.mp4,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_9,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_9/rollouts_state_record.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_9/rollouts_finalize.jsonl,OOD_exp/outputs/chunk_wise/put_the_cream_cheese_on_the_plate/trial_9/rollout_result.json,wrong_receptacle,1,verified,failure_label_verified
